,0,1,2,3,4,5,6,7,8,9
0,-0.7925108,-0.062019527,1.4820075,-1.7753028,-1.5969174,-7.971611,-1.6076998,-5.44936,2.875564,-3.6156056
1,0.85859793,-0.78452563,-0.4364817,0.07940298,2.065657,1.9039719,0.7413801,0.7226515,-0.7884224,1.4869791
2,0.15604812,1.076827,-0.112623125,-0.09685966,0.15007445,-2.6080294,-0.12819485,-1.5317999,1.6198038,-1.5743806
3,-4.288035,0.61701393,5.9099984,-0.6920754,-4.7082224,1.8356571,-3.2921538,3.565154,-0.83962613,-4.872667
4,3.3255,1.1414133,-2.7857194,2.3517928,2.3161664,2.9178593,-1.1680654,0.9578302,0.8613569,2.374573
5,0.79100144,0.77116174,0.06688355,0.012038395,1.1084456,-1.8236985,-0.8156491,-1.4135497,1.447436,-0.7256838
6,1.5412377,-2.2185788,-3.0048938,0.12992388,1.968491,-0.62973106,-0.26629868,-1.2540207,-2.134065,3.9943304
7,5.316756,2.11708,-3.9124715,3.955357,4.69271,2.3320382,-0.15277588,-1.2985451,3.0946887,2.5165396
8,-0.11262706,2.2899513,0.5134858,1.3744768,0.17671514,0.6823597,0.11985092,0.43363282,0.6259185,0.18640265
9,3.915254,-0.03682489,-4.610266,3.0343053,2.3852515,2.918795,-1.7567837,0.36366725,0.60355794,4.2381663
10,0.61726147,0.12031597,-1.9283422,1.2419195,2.1024873,1.831272,-0.33960736,1.9719284,-0.9238399,2.3839521
11,0.41551578,-3.674427,-4.4700494,-2.6072135,3.034831,-2.679854,0.273112,0.23170823,-3.6421344,4.7437353
12,0.7955167,-0.8226716,-2.06686,0.540531,3.3426576,1.7557601,-0.77823675,1.5996594,-1.8606663,2.6198895
13,3.9086,0.28285486,-4.1362205,2.3272116,3.4752288,2.8758733,0.5629258,0.7181246,1.053096,3.7299159
14,1.7093403,-5.623586,-6.6096053,-0.77385104,1.0007313,-3.437583,0.7888217,0.5630057,-3.7656314,5.8036046
15,0.68104124,-0.2770401,-0.20712629,1.1794295,2.1640987,1.3243961,1.0989947,1.2696183,-1.5263145,1.7496893
16,2.8556852,-0.72413826,-3.3056846,1.1924402,5.244129,1.8443404,-1.5555242,1.2648528,-0.3505274,3.1051886
17,3.2908268,-5.724915,-5.501709,-1.3343372,-0.00045394897,-5.079131,-0.5391162,0.28447342,-3.901098,7.3839087
18,-0.18261218,1.2445096,3.7077894,-3.7397418,-1.2976751,-2.6967003,0.26258147,-2.5061057,2.5025053,-3.5805259
19,5.849512,2.7723923,-3.0594225,3.7806969,1.523936,-2.3778043,-1.0540373,-2.4709666,4.5276885,1.0507171
20,-3.567379,3.1472874,3.4916697,-0.21638906,-2.4464881,-0.30891347,-1.6171517,0.8979095,0.774209,-3.7536283
21,0.05557853,-0.12224063,2.0956442,-3.048892,-1.6157445,-5.1736293,-1.7601305,-4.371446,1.7703081,-3.5560098
22,-3.1718397,-2.140141,2.4660583,-3.7935915,-4.1508045,-4.5996027,-1.2434156,-1.1092445,-1.5033919,-5.478834
23,-2.4675756,-0.4428769,3.9551394,-1.0717307,-2.3203595,-3.377556,2.213011,0.270458,0.69904524,-3.6749034
24,0.8913453,0.7443815,1.3620069,-2.0988126,-0.35016453,-4.544071,-2.4715543,-2.3161688,3.3213224,-2.7772253
25,4.6416793,2.656377,-2.07408,2.5375054,2.3578978,-1.9322383,-2.2031212,-4.0970902,4.2442665,0.33917746
26,0.729213,0.22033554,0.2633644,0.27807325,0.9787961,3.3069725,0.39309525,1.4075384,-0.4029235,1.0710347
27,-4.8246493,2.446666,3.5265238,-1.4376009,-3.3711617,0.47837535,-1.2885995,1.7471969,0.49420285,-4.97523
28,1.0517925,2.0206552,0.0603393,-1.5390633,0.18813094,-0.9396965,-0.7426542,-2.008971,1.3077694,-0.21962309
29,1.9174109,-4.491211,-6.2260337,-1.7786027,3.4007998,-3.590216,1.7091299,-0.10179901,-4.8401847,6.885391
30,-0.14461958,-2.6670086,-1.4644828,-0.14743662,3.303698,0.20729119,0.8105346,0.6708645,-1.3998823,3.1754255
31,-0.51623416,-0.866817,-1.2389088,0.33551276,2.4501832,2.3325899,0.8572024,1.1390877,-2.4048924,2.3176982
